District code,State,District,Latitude,Longitude,Population,Male,Female,Literate,Male_Literate,Female_Literate,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Workers,Male_Workers,Female_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Rural_Households,Urban_Households,LPG_or_PNG_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Total_Power_Parity,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Above_Rs_545000,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Ownership_Owned_Households,Ownership_Rented_Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,sex_ratio,Literacy Rate,Youth_Dependency_Ratio,Elderly_Dependency_Ratio
4,Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,140802,77785,63017,86236,56301,29935,12732,19083,20874,16938,9826,3077,408,82938,39854,122792,51873,39839,12034,88929,8266,3763,1222,38622,10341,108239,604,1171,20126,28,4,40370,7774,3285,376,15824,235,1005,214,39,87,27,7,11887,17649,87532,35561,17488,10366,3835,1252,1643,16646,1419,9218,1963,81.0,61.0,246.1460588847333,49.17746969995219
5,Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,476835,251899,224936,261724,163333,98391,55762,72024,69219,46062,29517,13962,1884,288430,164044,452474,161393,117677,43716,315442,54264,31583,3930,71616,32604,431279,958,11188,83,10,2,132139,15269,13160,28,62900,346,3342,629,117,268,78,12,19789,16586,304979,109818,61334,70995,9180,1148,1250,87711,762,33146,17078,89.0,55.0,277.71312535285654,55.85058915660457
7,Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,616435,326109,290326,389204,228499,160705,69396,82715,106411,91522,47694,24330,4504,426572,181297,607869,200431,161548,38883,416004,69533,21566,3952,105380,540063,64234,1828,9551,24,16,2,181374,33473,32772,20,109422,1443,6112,936,139,340,174,28,47372,26033,357864,160123,97684,87230,15954,3596,4489,114949,2179,36594,52019,89.0,63.0,223.49318961048695,61.00560194350593
10,Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,1236829,651124,585705,748584,431746,316838,88911,173309,178723,176409,132727,121856,32114,904049,310225,1214274,407188,333151,74037,829641,12228,10408,20095,364457,42540,1177342,2746,12187,285,74,2,4518,257721,138119,83,165403,16413,33831,3099,251,427,668,445,164263,164002,693238,351561,190330,117581,23234,6314,7640,160923,5135,7457,157176,90.0,61.0,197.18853911554467,54.138542102224086
12,Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,560440,293064,267376,293958,178326,115632,36201,54808,73991,67368,40931,31286,5897,310482,190369,500851,188420,138428,49992,372020,49746,34080,10615,93979,13840,535159,1109,9440,35,6,18,147520,21703,16828,680,73629,1537,5293,1068,213,430,119,32,61749,53836,342601,137032,80111,55081,15020,3099,3612,80452,459,19320,50893,91.0,52.0,250.01532488761748,58.46152723451456
16,Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,409936,213641,196295,219083,138620,80463,43794,47350,62719,48359,31416,12647,1846,248131,163565,411696,151912,101144,50768,258024,69947,12199,1932,67834,187621,220614,472,422,21,22,42,122267,11350,7963,4,61831,596,3077,1103,247,467,99,19,26716,23060,263576,93189,52744,60875,8043,1127,1324,76189,1997,35304,25054,92.0,53.0,282.8402493856571,56.598954812263244
19,Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,554985,296784,258201,322354,197543,124811,58567,80129,86008,55024,29657,17345,4030,330760,194838,525598,243672,163845,79827,311313,113020,11396,2641,116615,489044,59771,1962,3418,106,57,235,148664,34696,20008,21,73999,1214,5744,1278,218,492,171,37,21542,18063,339145,140785,74757,62914,15369,3544,4377,90329,2544,36891,21585,87.0,58.0,240.8956920126434,53.100117199985796
21,Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,1529958,813821,716137,1137135,641916,495219,135391,185962,253542,261852,159257,146501,30616,1173121,268279,1441400,508622,417456,91166,1021336,68613,36873,10589,392547,1289240,107489,12104,114272,470,1987,321,254566,248043,197168,141,294739,19905,46657,3525,404,827,682,398,231365,162522,816827,435895,275585,215803,40735,8759,10378,274859,18255,46394,233123,88.0,74.0,187.39077071313045,63.2227944803221
23,Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,519080,261320,257760,323842,186064,137778,56272,96789,67653,64515,40440,15506,3252,344427,154575,499002,294035,158791,135244,225045,196665,9193,4521,83656,479782,32455,1559,2745,1740,57,14,186395,13836,21458,4,96082,1615,5117,950,118,276,222,97,46292,52553,306555,130606,81566,66941,17582,2765,3143,94367,6546,55088,36220,99.0,62.0,234.717394300415,62.451954734085724
24,Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,1510075,750591,759484,1152640,606443,546197,127699,243617,223099,284124,192936,91236,13577,1176288,271892,1448180,675170,403756,271414,834905,303007,54849,15662,301652,1461140,19797,3023,8929,14511,194,208,588321,39007,148361,43,330081,8053,22753,2878,317,800,706,369,229975,220258,766581,419172,319420,220761,52298,8867,10052,314828,16832,105689,200604,101.0,76.0,182.87982021699924,76.20260895288807
26,Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,437903,225452,212451,307672,174550,133122,48384,77363,61854,58122,39081,23168,2377,310349,103136,413485,269084,148829,120255,168819,197141,12372,2707,56864,415669,2974,1568,1396,15377,94,83,167995,20709,40064,15,91322,2623,7010,854,98,239,205,100,66129,55831,244727,120510,72282,62549,14979,2492,2794,80610,12616,38399,46354,94.0,70.0,203.07609327026802,59.98008464027882
27,Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,999777,498065,501712,723747,393669,330078,100052,159043,132147,180188,128549,54139,9350,763468,218570,982038,572671,297464,275207,427106,387944,15822,7134,161771,981412,9460,876,4081,2628,43,86,431129,31696,59324,39,214491,5333,16401,1842,233,535,431,190,175038,181985,524285,279321,194661,141425,40350,7803,8883,205510,11024,84301,123062,101.0,72.0,187.69981490829548,69.6907858700205
28,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,454768,217070,237698,358091,180555,177536,37327,71107,72114,91184,64363,35620,5263,376978,72551,449529,241931,118724,123207,212837,147103,8824,3347,82657,449412,3711,243,591,95,293,9,196116,15232,34978,21,104120,2521,7525,878,95,240,215,113,86909,93858,224044,123941,106641,65041,15955,3047,3478,99538,4452,29624,69696,110.0,79.0,180.76665510202434,86.0417456693104
28,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,454768,217070,237698,358091,180555,177536,37327,71107,72114,91184,64363,35620,5263,376978,72551,449529,241931,118724,123207,212837,147103,8824,3347,82657,449412,3711,243,591,95,293,9,196116,15232,34978,21,104120,2521,7525,878,95,240,215,113,86909,93858,224044,123941,106641,65041,15955,3047,3478,99538,4452,29624,69696,110.0,79.0,180.76665510202434,86.0417456693104
168,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,1104285,593537,510748,653299,408125,245174,159593,238344,211029,103334,59914,59612,4094,835920,364848,1200768,443655,308527,135128,660630,130314,181449,19876,112016,1010014,91269,814,196,74,41,273,256081,55300,20175,404,55929,1196,11037,1291,240,488,250,26,120259,68771,660774,260368,181109,139501,37669,9673,12348,202503,4809,120508,47183,86.0,59.0,253.78464327413508,69.55885515885208
168,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,1104285,593537,510748,653299,408125,245174,159593,238344,211029,103334,59914,59612,4094,835920,364848,1200768,443655,308527,135128,660630,130314,181449,19876,112016,1010014,91269,814,196,74,41,273,256081,55300,20175,404,55929,1196,11037,1291,240,488,250,26,120259,68771,660774,260368,181109,139501,37669,9673,12348,202503,4809,120508,47183,86.0,59.0,253.78464327413508,69.55885515885208
29,Himachal Pradesh,Una,31.58330388349513,76.18353932038836,521173,263692,257481,399715,213281,186434,51838,87913,81256,105204,60626,32120,5511,424468,87735,512203,215346,141612,73734,305827,84800,19604,3427,107515,480138,14275,390,26009,56,70,10,185091,20126,43809,38,105929,2412,8238,987,108,271,240,122,87268,66103,273223,142351,105358,71424,18538,3527,4086,101443,5195,30021,71588,98.0,77.0,191.93612970755387,74.01282744764701
30,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,381956,192764,189192,287620,155599,132021,35817,59489,53515,64730,45695,25474,3241,287961,65864,353825,205871,111543,94328,176085,127169,4138,2561,72003,371973,6984,236,2387,113,10,7,152458,11987,17262,20,79146,1574,6281,3666,528,1214,671,72,61113,56814,193671,107367,80497,50624,15387,3523,4063,75560,4092,28605,42589,98.0,75.0,180.38224035318115,74.97368837724812
30,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,381956,192764,189192,287620,155599,132021,35817,59489,53515,64730,45695,25474,3241,287961,65864,353825,205871,111543,94328,176085,127169,4138,2561,72003,371973,6984,236,2387,113,10,7,152458,11987,17262,20,79146,1574,6281,3666,528,1214,671,72,61113,56814,193671,107367,80497,50624,15387,3523,4063,75560,4092,28605,42589,98.0,75.0,180.38224035318115,74.97368837724812
406,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,2663629,1351574,1312055,1596560,932474,664086,382091,407692,337793,189296,152838,134637,19654,1624001,943112,2567113,1203197,715467,487730,1460432,276691,572292,21658,332556,2540763,57973,20745,6373,2979,2357,29122,549632,188174,77727,190,519704,8566,30892,2981,477,952,870,195,135945,171271,1625484,655032,380114,464063,57480,10850,13773,561313,37623,310140,143705,97.0,60.0,248.15337265965633,58.02983671026759
406,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,2663629,1351574,1312055,1596560,932474,664086,382091,407692,337793,189296,152838,134637,19654,1624001,943112,2567113,1203197,715467,487730,1460432,276691,572292,21658,332556,2540763,57973,20745,6373,2979,2357,29122,549632,188174,77727,190,519704,8566,30892,2981,477,952,870,195,135945,171271,1625484,655032,380114,464063,57480,10850,13773,561313,37623,310140,143705,97.0,60.0,248.15337265965633,58.02983671026759
31,Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,580320,308754,271566,428578,244372,184206,50331,89407,83992,95232,59363,36803,8280,423408,104084,527492,298737,190001,108736,281583,141267,10283,4969,142218,548579,14678,1452,13926,574,591,110,192787,51509,53722,53,119866,5250,14478,1253,116,317,307,160,105861,90587,321533,167168,90808,74573,19282,5062,6076,86649,31305,35692,74848,88.0,74.0,192.34123755742726,54.321401225114855
32,Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,529855,276289,253566,362645,205617,157028,57853,100123,78103,67080,38282,23352,4048,368841,140486,509327,280083,169399,110684,249772,182958,10730,5313,81082,476830,33215,577,15501,2645,236,86,171102,21054,28904,51,91509,2220,8593,930,124,274,209,77,74088,60246,310244,136839,82471,61976,18571,3769,4665,83947,10156,40315,39659,92.0,68.0,226.72191407420402,60.26863686522117
33,Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,814010,425039,388971,612642,342846,269796,69967,113536,113305,141490,95341,80414,9748,623801,137576,761377,430926,258628,172298,383084,249786,26114,7967,147059,791449,11810,2025,4047,3262,185,197,279269,95896,108888,36,172754,9177,24127,1668,156,397,415,232,153356,123535,425721,241956,145577,114928,25903,4965,5765,126522,44241,58532,102066,92.0,75.0,175.94975946039776,60.16672452842665
34,Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,84121,46249,37872,60699,36697,24002,9400,13749,11437,11140,7871,5118,713,59428,16944,76372,56273,33863,22410,27848,32995,2537,944,19797,64732,448,485,249,18086,29,45,44514,0,10740,2,17865,354,2563,181,21,52,44,23,13902,13521,42360,26599,15075,10752,2106,207,235,13926,4511,6083,11752,82.0,72.0,159.2541072972668,56.67506297229219
35,Punjab,Gurdaspur,32.04283371212125,75.3204064393939,2298323,1212617,1085706,1634719,907660,727059,180897,315156,290618,372317,243539,104345,22107,1528979,478020,2006999,757138,637652,119486,1541185,147912,100684,30903,477639,1074332,27667,176587,1002874,405,580,812,420860,185488,244468,115,411216,14428,38445,5982,269,1023,1250,678,360051,258924,1261421,611353,423301,285718,82786,19869,23635,409745,14231,30846,393314,90.0,71.0,206.33267523018617,69.24002990089195
36,Punjab,Kapurthala,31.336592638036837,75.47641165644177,815168,426311,388857,576567,316254,260313,71698,127031,112774,128828,77442,48221,9501,575495,174995,750490,284165,235562,48603,531003,55252,42387,9861,176665,336124,10190,5445,453692,6662,553,334,165433,95770,110555,261,161206,9732,23145,2472,81,322,555,470,149071,137713,433331,222324,157833,110069,28131,5932,7043,141816,18924,14783,145612,91.0,71.0,194.9096813659344,70.99233551033628
37,Punjab,Jalandhar,31.250336907216507,75.54400350515463,2193590,1145211,1048379,1622537,882581,739956,183441,333736,304652,339758,216646,162965,34576,1575774,387809,1963583,774472,639484,134988,1419118,85695,66664,29762,592351,1394329,30233,26016,718363,11385,4011,805,330339,377791,299449,341,446200,39082,79134,6883,201,803,1594,1399,422876,392909,1159156,616431,416449,303584,68750,13495,15600,378807,61615,35640,409159,92.0,74.0,188.0431062032896,67.55808841541065
38,Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,1586625,809057,777568,1199699,637927,561772,143871,256127,238975,301435,176013,93618,17427,1227466,294723,1522189,499822,412506,87316,1086803,89772,74362,15990,319698,1000743,23089,14968,538208,3476,2034,531,422673,128592,201675,118,319930,13747,34328,4305,167,653,925,730,285730,210621,831741,422782,330671,217844,52307,9712,11214,303081,17651,37705,278909,96.0,76.0,196.73046629232087,78.21312165607807
40,Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,600163,320795,279368,426033,238696,187337,51897,102257,83931,95073,59555,34990,4607,432310,142314,574624,214783,182777,32006,385380,44245,21389,8048,141101,152851,16808,1698,427521,48,178,251,117559,57337,64037,56,113683,5138,14294,1640,67,263,355,222,104467,99858,321018,166781,111028,71651,23817,6191,7425,101426,11510,8403,104951,87.0,71.0,192.47875957093436,66.57113220330852
41,Punjab,Ludhiana,30.76596397379912,75.83110851528383,3498739,1867816,1630923,2560225,1428348,1131877,277247,488129,443759,527568,318876,272280,44240,2372099,631980,3004079,1284822,1053600,231222,2213917,140737,98646,71667,973772,1502403,77713,16517,1863408,2007,19620,1254,395032,641789,488757,368,703624,58589,123400,10593,336,1382,2526,1722,669232,667902,1901528,980046,614258,476270,122292,27009,31634,570487,127020,43609,660590,87.0,73.0,194.02436212177795,62.676445799482885
42,Punjab,Moga,30.756540067340065,75.1600845117845,995746,525920,469826,627889,348549,279340,98764,158812,116716,128693,85642,37417,11956,638000,306336,944336,359172,292379,66793,636574,91622,82397,18098,167055,158414,9388,3277,818921,178,436,365,214295,74144,89445,221,183396,7897,21662,2774,128,479,574,336,171503,167596,535408,258826,194768,124032,38321,8484,10212,178205,9104,25433,151928,89.0,63.0,206.86020724347628,75.25055442652592
43,Punjab,Firozpur,30.63407535211269,74.40245732394365,2029074,1071637,957437,1227511,707070,520441,196971,306838,226433,221806,147698,82448,25734,1207928,714869,1922797,756695,596406,160289,1272379,191685,227971,14679,322360,906408,6844,19358,1090815,454,1143,278,348522,153868,141899,245,349662,10042,31070,4283,235,838,818,212,303760,274015,1171770,525459,331259,251154,72346,17405,20602,344538,17695,55030,286759,89.0,60.0,222.99932059399495,63.04183580450615
44,Punjab,Muktsar,30.31243303303303,74.5518747747748,901896,475622,426274,524848,300401,224447,90240,137470,101852,104682,62612,36905,10666,544427,340886,885313,335326,272699,62627,566570,86565,111014,5187,132560,254920,4333,1681,638625,240,744,433,149507,74650,76441,129,166585,4571,14077,2025,113,402,382,95,152188,133635,495167,242628,162297,112350,36561,9078,10416,159581,9169,27435,125869,90.0,58.0,204.08485418006163,66.89129037044364
45,Punjab,Faridkot,30.591187250996025,74.79751553784862,617508,326671,290837,381285,215767,165518,53734,89433,71178,75419,48360,29838,5790,373752,204895,578647,221555,185049,36506,395953,53230,54058,8225,106042,141363,3125,1227,469789,155,1109,103,99946,58917,62103,113,113549,4348,12276,1540,76,276,313,122,107033,99988,336540,164962,113721,76761,25289,5936,6901,109071,6142,11352,95315,89.0,62.0,204.01062062778092,68.93769474181933
46,Punjab,Bathinda,30.190524611973352,75.05685898004438,1388525,743197,645328,844868,488261,356607,117795,182796,145626,163928,96329,70240,16666,793380,438529,1231909,549986,432988,116998,838539,141535,128382,14938,265131,380569,16299,2474,984286,246,1266,559,218159,137563,118427,169,255650,11284,32253,3365,160,592,692,302,241449,232629,754927,377707,255283,168278,55630,13697,15928,235988,21224,39408,211601,87.0,61.0,199.87106407877005,67.58757449557461
47,Punjab,Mansa,29.919547714285724,75.4304922857143,769751,408732,361019,423560,244037,179523,75708,106162,84553,85953,48663,27461,5658,434158,311513,745671,328512,230739,97773,441239,105963,90367,13442,118740,156539,10375,917,598443,123,1577,493,145603,50786,39414,57,140099,2673,10085,1694,106,366,294,56,128019,99571,420050,200882,146103,95737,30615,7184,8364,140422,4905,23021,108275,88.0,55.0,209.10285640326163,72.7307573600422
48,Punjab,Patiala,30.214540380693364,76.27505893949697,1895686,1002522,893164,1266791,711052,555739,173890,283837,239609,256826,157435,141947,27272,1280816,518772,1799588,660267,549661,110606,1235419,113182,89123,23647,434315,783306,40043,5683,1059944,245,1914,1410,299279,218090,209192,178,352929,24274,55105,5679,241,905,1235,687,327085,309524,1042519,517079,335100,235508,74053,17967,21439,325608,28546,39120,306941,89.0,67.0,201.61696762003487,64.80634487186677
49,Punjab,Amritsar,31.548679820627772,74.79883856502238,2490656,1318408,1172248,1684770,932981,751789,197944,313874,283819,328229,203656,142399,15879,1485800,540010,2025810,917856,735195,182661,1572800,124617,121599,41642,629998,690939,12502,54344,1716935,876,3152,1044,275477,385476,279993,196,461231,29961,63864,6979,262,1025,1582,1012,430958,379230,1384987,667193,436496,324471,87870,19372,22637,430041,41576,26122,447498,89.0,68.0,207.5841623038611,65.42274873986987
51,Punjab,Rupnagar,30.910937330754347,76.53743500967126,684627,357485,327142,502731,278534,224197,53005,107715,98135,116836,68794,38823,9388,492696,124100,616796,233676,186910,46766,450951,45640,21520,12321,154195,304481,14492,2094,361045,118,653,143,148162,60537,67749,45,129123,6600,17542,2034,90,342,429,256,114310,88385,365300,185424,131707,86325,25742,6079,7234,114943,14317,17770,107694,92.0,73.0,197.0079385624299,71.03017948054189
53,Punjab,Sangrur,30.185045204336895,75.89437014178496,1655169,878029,777140,1002077,570413,431664,163251,250833,197901,220210,130155,73636,18393,1054379,570103,1624482,568758,485129,83629,1086411,157191,91799,18578,301190,389410,179116,2406,1077438,268,3222,1038,292156,156788,135280,283,305557,10736,30955,3943,190,702,802,372,282915,259912,904316,435148,311621,198490,68026,17062,20319,294479,15033,41855,255649,89.0,61.0,207.81802972781676,71.6126467316867
55,Chandigarh,Chandigarh,30.7426,76.75872465753424,1055450,580663,474787,805438,465346,340092,80406,118667,114209,124707,98786,174528,20188,731491,184265,915756,404136,328159,75977,651314,2578,1687,4799,395072,852574,51447,8720,138329,1160,1960,246,8911,289456,168344,263,231204,44283,78113,34145,893,3631,7152,7897,210801,206017,602411,303748,148945,162464,24076,4872,5667,112043,110377,27384,202495,82.0,76.0,198.3259149031434,49.0357138153996
56,Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,330086,168597,161489,215126,128237,86889,43442,46625,47640,30901,24989,18882,981,213460,83896,297356,157276,84265,73011,172810,117264,4387,3122,32503,324859,3554,353,167,563,74,105,112148,9061,21374,28,52621,602,4104,356,73,133,66,5,36136,29106,202426,75997,51245,44218,9723,1844,2229,55125,8431,19107,28531,96.0,65.0,266.36051423082495,67.43029330105136
57,Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,391605,193991,197614,280556,155395,125161,47447,68435,67519,47703,32557,27168,2367,293196,61950,355146,180940,93832,87108,210665,121157,3845,5384,50554,385818,4395,428,323,190,11,23,163434,22906,27853,7,71524,899,5582,467,78,158,115,8,46547,45572,229715,93182,67873,54317,10328,1350,1536,72625,11202,32596,31825,102.0,72.0,246.52293361378804,72.83917494795132
59,Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,618931,297986,320945,407994,227406,180588,72163,103462,95417,74008,58434,30704,2073,436261,133013,569274,280442,140821,139621,338489,187121,8129,4021,81171,609835,7374,656,290,32,91,109,227059,27177,50929,11,117239,1366,7831,743,129,255,178,10,78515,74477,368324,139371,109998,82854,19145,3984,4848,114292,13655,50396,43048,108.0,66.0,264.2759254077247,78.92459693910497
62,Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,483439,239306,244133,345550,189623,155927,63591,87585,90983,56591,42086,28375,2237,371448,88036,459484,216490,113539,102951,266949,137332,5432,6055,67671,475105,6015,1401,260,185,13,30,183687,26256,45365,16,95421,1344,7932,631,105,217,149,8,58037,61543,273494,116749,92517,67738,13607,1440,1573,94192,14522,40377,46575,102.0,71.0,234.25810927716725,79.24436183607568
63,Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,259898,124326,135572,179483,97546,81937,38113,47788,50340,31224,20785,10900,675,199825,49539,249364,123638,58708,64930,136260,85125,8985,2991,26537,257509,1440,397,46,102,7,16,96031,3880,13352,6,47083,435,3595,281,53,99,68,0,28198,31604,147488,60569,51672,35989,9278,1294,1467,53896,3013,27478,14315,109.0,69.0,243.50410275883704,85.31096765672208
64,Uttaranchal,Almora,29.683532133676103,79.50165064267351,622506,291081,331425,436497,231604,204893,90864,120029,115810,76148,53026,37742,2263,495882,109556,605438,298211,142460,155751,324295,207617,10274,4312,76008,611250,7752,1895,256,201,31,6,260056,21082,40199,37,109876,1830,9858,742,131,256,178,11,77118,76958,351595,141238,128994,81556,17115,2655,3162,123666,12840,65744,36378,114.0,70.0,248.93796287118198,91.33094492983474
65,Uttaranchal,Champawat,29.29142393939393,80.07720212121217,259648,131125,128523,177726,102015,75711,36127,48093,45766,23610,18360,15110,1317,188383,62429,250812,99566,60427,39139,160082,59993,4032,1570,33971,249563,8693,870,336,24,28,6,85202,12839,18785,11,37725,548,3159,309,52,108,73,0,24002,24284,156916,60722,41913,34345,7444,1250,1503,44945,5095,19586,19181,98.0,68.0,258.4170481868186,69.02440631072758
67,Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,1648902,858783,790119,1037839,598525,439314,179602,302653,232381,169274,113661,111062,11786,1120419,438598,1559017,591458,444578,146880,1057444,122686,165250,26396,277126,1104452,372267,6064,162768,505,738,159,269406,145253,116576,162,254802,7883,28053,1805,280,619,399,53,207469,207848,1042614,392370,212223,216964,43109,9421,11879,255817,30144,45902,242986,92.0,63.0,265.7221500114688,54.08746846089151
69,Haryana,Panchkula,30.700897142857134,76.97173238095236,561293,299679,261614,405318,229862,175456,45607,73584,60177,69163,48306,83256,8466,388559,119222,507781,211479,164865,46614,349814,26682,12827,9870,162100,490702,23451,2583,40951,1008,1626,90,70895,93656,69687,30,103455,18615,32174,1445,42,196,344,238,94560,77967,309078,157076,93606,74902,18116,4455,5295,78722,24115,22286,82195,87.0,72.0,196.76971657032266,59.59280857673992
70,Haryana,Ambala,30.3503672316384,76.94970310734456,1128350,598703,529647,818025,461288,356737,89558,170110,161844,163544,97980,91472,18727,793235,222031,1015266,372139,320120,52019,756211,52871,57293,15753,246222,955096,22143,3705,138202,381,4845,110,175365,139891,121622,75,199681,12899,32767,2781,100,491,622,297,186183,142922,617859,308126,201685,136640,39766,10339,12555,183898,18611,27750,175374,88.0,72.0,200.5215398895257,65.45536566209927
72,Haryana,Kurukshetra,30.05652659846548,76.78774680306903,964655,510976,453679,646893,370828,276065,94530,145392,118107,120790,81964,71007,10999,642789,266638,909427,336780,268556,68224,627875,68908,85890,6726,175256,805175,15970,1943,140395,214,375,106,203553,88268,90150,39,171908,7356,21951,2137,83,416,448,190,152922,136321,552034,250830,160216,115218,33776,9014,10985,162147,13063,28663,144159,89.0,67.0,220.0829246900291,63.87433720049436
73,Haryana,Kaithal,29.96068539094649,76.37698930041155,1074304,571003,503301,646529,385782,260747,119345,158239,124682,117753,82297,51043,9111,662470,369869,1032339,373899,292696,81203,700405,128016,85651,9450,150782,974520,8232,1769,87558,265,351,70,231091,75696,62668,107,187349,3724,15301,2046,100,491,364,34,153556,126896,630194,265813,176320,128054,39137,9894,11896,189832,7550,60650,114419,88.0,60.0,237.08170781714966,66.33234642398979
74,Haryana,Karnal,29.703200647249204,76.87488025889972,1505324,797712,707612,978013,564516,413497,155839,231354,188040,183590,124790,101387,19186,1004186,429220,1433406,516062,411646,104416,989262,112288,133723,15311,254740,1341002,31650,2049,126207,532,1516,49,292682,135920,143133,93,267223,11163,29253,3368,146,730,658,168,238149,215989,884972,380409,234684,189917,52737,12985,15700,258981,19328,45033,225116,89.0,65.0,232.63697756887981,61.692546706308214
75,Haryana,Panipat,29.34352134146342,76.92895914634147,1205437,646857,558580,786599,464136,322463,118873,170565,143466,141473,91756,75774,10977,752884,296212,1049096,412318,328667,83651,793119,72120,62358,15824,262016,1083936,86622,2261,25064,289,4647,99,173502,153804,121846,115,209965,10024,26719,2559,91,444,591,231,191098,176766,739075,298764,167244,152367,37420,8949,10817,182191,32473,53544,148894,86.0,65.0,247.37752875179072,55.978631963690404
77,Haryana,Jind,29.45149821958457,76.29598575667653,1334152,713006,621146,832758,502049,330709,136892,185626,151682,154773,107994,64599,14277,815843,419624,1235467,523422,368277,155145,810730,230387,102071,9114,181850,1276669,23016,889,29103,172,2594,56,278335,89665,78386,184,222462,5263,23750,2674,131,650,472,29,186317,146428,784085,335704,213478,153267,48467,13086,15718,227870,12316,73935,119784,87.0,62.0,233.56439005790816,63.591139813645356
78,Haryana,Fatehabad,29.57298318584072,75.54608716814157,942011,495360,446651,557578,327471,230107,103541,136663,99948,93526,61476,37741,9504,542399,344534,886933,369083,263498,105585,572928,132250,97997,6558,132278,779243,8360,996,150969,171,1172,530,203020,55360,51693,44,153301,3210,13142,1854,89,444,330,39,152219,134586,555745,237009,147469,118034,32676,8838,10397,162708,8832,39877,122912,90.0,59.0,234.4826567767469,62.22084393419659
79,Haryana,Sirsa,29.63583446327684,74.90970480225988,1295189,682582,612607,782897,456968,325929,141766,201349,153263,134559,83373,61620,16698,792628,412353,1204981,502003,369462,132541,793186,164297,147042,11952,178712,940255,9524,2186,338962,370,2256,624,245476,93316,70538,84,215527,6287,22706,2681,113,569,538,140,216307,215371,750228,334344,208185,157925,45978,13988,16392,219428,12951,33381,196564,90.0,60.0,224.38805541597878,62.26670734333501
80,Haryana,Hisar,29.23628731117825,75.84324682779452,1743931,931562,812369,1114311,670200,444111,197303,230074,194595,202792,144626,105346,19031,1093767,505251,1599018,691621,488321,203300,1052310,261120,144213,16097,270191,1701061,21650,1945,12270,334,3620,33,302013,154113,110495,98,285004,10132,33400,3642,167,828,690,100,273915,231144,1017830,456536,265109,215575,60114,16187,18978,295628,23078,76543,194669,87.0,64.0,222.94627367830796,58.06968125186185
81,Haryana,Bhiwani,28.728868064516128,76.02110225806452,1634445,866672,767773,1069871,643158,426713,186145,223049,198307,218631,148995,104875,13786,1093788,459364,1553152,623006,430678,192328,1011439,288543,103788,14855,215820,1611031,15515,873,2401,254,1016,26,357047,99235,88938,73,266244,5292,25236,3349,150,756,628,149,241914,175689,964960,405760,261428,198703,58683,17581,20686,293443,11408,84400,164410,89.0,65.0,237.81545741324922,64.4292192429022
