District code,State,District,Latitude,Longitude,Population,Male,Female,Literate,Male_Literate,Female_Literate,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Workers,Male_Workers,Female_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Rural_Households,Urban_Households,LPG_or_PNG_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Total_Power_Parity,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Above_Rs_545000,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Ownership_Owned_Households,Ownership_Rented_Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,sex_ratio,Literacy Rate,Youth_Dependency_Ratio,Elderly_Dependency_Ratio
534,Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,3776269,1880800,1895469,2206829,1257238,949591,340372,453505,482842,463403,293493,256633,35312,2325560,1280393,3605953,1876768,1049463,827305,1899501,360390,756859,168340,591179,3491139,244723,24979,2086,332,312,115,877236,288044,344667,921,926768,8831,46584,5251,961,2163,1420,186,675283,452865,1940234,1031735,728494,746836,91081,8368,9357,823820,141432,197387,633350,101.0,58.0,188.05545997761052,70.60863496925083
535,Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,3033288,1523030,1510258,1637137,953406,683731,324267,503713,481984,373729,201928,127493,16466,2029580,1199818,3229398,1442203,837874,604329,1591085,353221,571129,67642,450211,2637313,342449,34301,1309,554,457,217,593653,195479,163074,716,604719,8635,47170,3874,786,1659,997,116,421856,293838,1735769,779738,509368,482906,92770,14040,16643,570933,90125,228110,278173,99.0,54.0,222.60926105948408,65.32553242242908
536,Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,3943323,2018575,1924748,2892155,1542688,1349467,230962,596591,685215,811501,517425,558090,45937,3445721,556902,4002623,1413297,1045585,367712,2530026,28308,23029,46157,1315803,2046051,1713405,87522,11446,1268,19560,1929,0,1066289,581509,1908,869721,149034,274653,11071,416,2008,3204,1710,873099,868186,2249130,1068243,542669,692697,73154,16242,20914,437146,422826,47880,814362,95.0,73.0,210.54479177490512,50.80014565974221
538,Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,4053028,2050386,2002642,1940646,1158386,782260,419379,596134,441585,308575,169083,98227,16121,2049104,1604319,3653423,2082501,1140067,942434,1970527,569142,931084,57846,524429,3673456,334172,21345,658,290,388,267,848963,161052,136843,1219,757821,6153,60812,4695,1068,2104,1137,102,508140,231015,2360874,1027525,637430,632870,116194,19694,23895,800743,66068,329098,290371,98.0,48.0,229.76316877934843,62.035473589450376
539,Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,3488809,1759772,1729037,2001019,1160757,840262,369537,518669,471233,367424,238695,196134,27003,2188695,1294811,3483506,1741693,976428,765265,1747116,325224,863131,45124,508214,3249231,188646,35025,937,241,250,132,833504,197433,228818,635,789225,7715,53777,4468,968,1937,1106,113,479824,355700,1932349,897137,651748,655150,89307,8970,10032,760789,103172,298874,347474,98.0,57.0,215.39062595790833,72.64754435498702
540,Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,3512576,1759281,1753295,2065023,1179790,885233,314252,457529,454322,430242,279234,248942,27663,2212184,1191252,3403436,1705655,960926,744729,1806921,401646,758092,43550,502367,3273755,197333,31377,1453,253,569,126,758738,288249,237349,547,828077,12952,59006,4762,938,1936,1203,185,504897,388583,1891954,941452,664872,676526,90062,8344,9354,761465,117060,216245,461825,100.0,59.0,200.96128108496237,70.62197541669676
541,Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,2797370,1390988,1406382,1630234,901640,728594,295639,346118,329630,238811,154774,160804,25456,1551232,875272,2426504,1410062,802906,607156,1387308,224972,804537,19799,360754,2595321,158887,33463,655,217,459,539,669262,201363,219710,707,668519,8628,42171,3836,732,1584,1012,127,403739,360531,1530602,774583,477955,575647,55189,4220,4616,616617,115379,240615,354579,101.0,58.0,197.60335561198735,61.70481407415345
542,Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,2703114,1341738,1361376,1495381,857824,637557,291793,348354,319244,251521,146721,121213,21031,1499877,1009992,2509869,1290288,766483,523805,1412826,165317,700833,34479,389659,2666950,9025,18879,193,77,160,106,752752,149684,149554,1406,615432,3988,32280,3301,743,1475,803,76,178089,146386,1423119,747385,528736,506897,66546,7462,8385,610487,68045,394989,107308,101.0,55.0,190.41310703318905,70.74479685837956
543,Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,2344474,1161477,1182997,1238388,707503,530885,250446,300057,257468,186576,115144,103591,27041,1240323,1031683,2272006,1157962,679289,478673,1186512,212285,557254,27469,360954,2299129,16423,17853,380,114,815,183,592458,157056,140361,729,527736,4453,24128,3103,613,1306,804,81,242486,131289,1206366,666394,451469,440182,65254,6261,6993,514227,68076,396943,95138,102.0,53.0,181.02894083680226,67.74805895611306
545,Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,5154296,2569688,2584608,3288577,1716933,1571644,669420,947606,797497,521562,271809,263023,47702,3518619,1524603,5043222,2093681,1545831,547850,3060615,160407,1122046,57853,753375,4983330,77777,77825,738,413,4149,403,1199479,406362,479914,1622,1297273,22411,93784,7211,1274,2865,1949,290,869464,800168,2724328,1478954,948122,1085890,85895,6477,7007,1088823,278383,558347,613789,101.0,64.0,184.2064053378266,64.1076057808424
